epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,33782.4,1.17251,1.66103,0.93196,1.45958,0.51301,0.60464,0.59111,0.38628,0.50554,0.59003,0.57606,0.34089,1.33178,0.51484,0.58577,1.71679,0.002773,0.002773,0.002773
75,34229.1,1.1612,1.65787,0.92252,1.45575,0.51518,0.60895,0.59044,0.38603,0.50668,0.59131,0.57578,0.34038,1.33178,0.51477,0.58522,1.71659,0.002674,0.002674,0.002674
76,34675.2,1.15373,1.63613,0.91375,1.44854,0.51311,0.6077,0.59126,0.38646,0.50477,0.59004,0.57691,0.34159,1.33272,0.51486,0.58481,1.71734,0.002575,0.002575,0.002575
77,35121.7,1.15157,1.63063,0.91848,1.4503,0.5227,0.60619,0.59213,0.38605,0.52088,0.58114,0.57714,0.34082,1.33322,0.51516,0.58436,1.71797,0.002476,0.002476,0.002476
78,35570.4,1.14506,1.61488,0.90064,1.4456,0.52959,0.60129,0.59331,0.38587,0.527,0.57437,0.57719,0.34169,1.33339,0.51523,0.5845,1.71826,0.002377,0.002377,0.002377
79,36017.3,1.14471,1.62416,0.89844,1.44212,0.54028,0.59233,0.59693,0.38796,0.52939,0.57397,0.57872,0.34287,1.33383,0.51513,0.58396,1.71874,0.002278,0.002278,0.002278
80,36462.6,1.13968,1.61113,0.89356,1.43908,0.53959,0.58889,0.59664,0.38656,0.5294,0.57003,0.57777,0.34213,1.33459,0.51562,0.58333,1.71947,0.002179,0.002179,0.002179
81,36906.8,1.1315,1.61054,0.88379,1.43101,0.54114,0.58959,0.59574,0.38686,0.53134,0.56911,0.57798,0.34131,1.3352,0.5158,0.58268,1.7202,0.00208,0.00208,0.00208
82,37348.3,1.1264,1.59665,0.8773,1.42885,0.54502,0.58915,0.59599,0.38757,0.5359,0.56822,0.57771,0.34242,1.33593,0.51586,0.58216,1.7211,0.001981,0.001981,0.001981
83,37791,1.12532,1.6052,0.87659,1.42749,0.54551,0.58685,0.59519,0.38742,0.5377,0.5659,0.57656,0.34239,1.33611,0.51606,0.58173,1.72153,0.001882,0.001882,0.001882
